자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
영등포구,신길3동,11560650,0.5462636396290185,0.1923611484730606,0.7889908256880734,0.5783878815135841,0.33485245053766155,47.0
광진구,구의2동,11215860,0.6054816503686616,0.19939341752414777,0.944954128440367,0.42637937731259057,0.19987809572899723,47.0
구로구,고척1동,11530720,0.6016008005084471,0.22676238366393373,0.9724770642201835,0.415471104115134,0.14662831890828584,47.0
마포구,상암동,11440740,0.7200178797538034,0.15590548776485025,0.9174311926605504,0.3180080544595949,0.17118517957526141,46.8
영등포구,대림1동,11560700,0.5652486620182718,0.24469850731526804,0.7339449541284405,0.552699470531717,0.28181853324461664,46.8
서초구,반포1동,11650560,0.671459880303591,0.22996528586671733,0.853211009174312,0.33542531226363037,0.18725631584490862,46.7
마포구,서강동,11440655,0.7029640768333157,0.15477051381488227,0.9908256880733947,0.3089682523458104,0.1374677999938487,46.7
용산구,원효로1동,11170560,0.6178530378403407,0.18903614022686108,0.8807339449541284,0.4798004783613059,0.1890810577691609,46.7
서초구,잠원동,11650540,0.684685491896389,0.1847528059402377,1.0,0.2606046977533376,0.15457974175610312,46.5
마포구,망원1동,11440690,0.7256342113545332,0.24528767148942554,0.45871559633027525,0.555982582742196,0.21726234880400813,46.5
강서구,우장산동,11500615,0.6194879416194489,0.2791687801409655,0.9724770642201835,0.3242022200870862,0.09189880973750533,46.5
마포구,합정동,11440680,0.7275337421777174,0.17349493611136294,0.6605504587155964,0.48256843224236956,0.20127530326260953,46.4
양천구,목3동,11470530,0.6052507729658255,0.18660237957083675,0.9174311926605504,0.4522967475519757,0.1983185518084706,46.4
성북구,정릉4동,11290650,0.544345597285708,0.23859213078950858,0.9541284403669726,0.45790624936116275,0.18988938889306703,46.4
광진구,자양3동,11215840,0.5888193374871714,0.2988575702016684,0.9541284403669726,0.34486170451990117,0.10995691757113862,46.3
광진구,구의3동,11215870,0.64968243702155,0.24702691893659162,0.944954128440367,0.2966576036960564,0.12315284627403322,46.1
서대문구,홍제3동,11410640,0.593685175656587,0.2673927533888372,0.7889908256880734,0.45154854140687295,0.20349847687390876,46.1
마포구,아현동,11440555,0.614795864580331,0.20812015138197126,0.9082568807339452,0.42877118384201807,0.1587377765698929,46.0
양천구,신월7동,11470611,0.5345547963358469,0.2574048488469601,0.8348623853211009,0.4894740069914345,0.23771675528935518,45.8
강북구,삼양동,11305534,0.5176829923081113,0.21526751969672353,0.889908256880734,0.5345421836989188,0.2443356467592229,45.8
강서구,화곡3동,11500560,0.5995085634985683,0.25962320286900603,0.853211009174312,0.42478892818447567,0.15423851729680968,45.8
광진구,자양2동,11215830,0.5964664515637278,0.18233229673333382,0.944954128440367,0.41919169204979867,0.19536423951493503,45.7
동작구,대방동,11590660,0.6204539487527295,0.24133966111155858,0.853211009174312,0.4218001921622341,0.1407721512787856,45.7
영등포구,양평1동,11560610,0.6214721699255313,0.17699255042842493,0.706422018348624,0.5551975795735633,0.2474409735169649,45.5
강북구,수유2동,11305625,0.5820274940778504,0.22350139356443813,0.7155963302752294,0.5705542040599383,0.22680976497290545,45.5
용산구,이태원1동,11170650,0.6786958655745822,0.16118952069194983,0.33944954128440374,0.7049042255248688,0.37314308948355773,45.4
노원구,월계1동,11350560,0.6050826720131858,0.13584907878925492,0.9174311926605504,0.48012756301490267,0.20614265335795856,45.3
